drug_name,adr_term,archetype,true_signal,demographic_minority_flag,T_confirmation,feature_extraction_date,years_since_approval,days_to_signal,notoriety_flag,stimulated_reporting_flag,ground_truth_confidence,temporal_cohort,S1,S2_raw,S2_corrected,S3,S4,S5,S6,S7,weber_factor,prr_raw,S1_score,S2_score,S3_score,S4_score,S5_score,S6_score,S7_score,prr_score,composite_probability,hdi_lower,hdi_upper,hdi_width,dci,uncertainty_flag
Nefazodone,Hepatotoxicity,standard,1,1,2003-01-15,2002-07-18,2.651,343,0,0,1.0,2000-2005,100.0,33.71,33.71,67.9,66.5,53.86,80.0,87.49,1.0,19.77,1.0,0.3371,0.679,0.665,0.5386,0.8,0.8748999999999999,0.7715270007500639,0.9999,0.9998,1.0,0.0002,0.9999,False
Venlafaxine,Suicidality Adults Low-risk,negative,0,0,,2014-07-05,4.674,9999,0,0,0.8,unknown,38.5,74.24,74.24,18.46,20.6,14.1,38.76,48.23,1.0,0.794,0.385,0.7424,0.18460000000000001,0.20600000000000002,0.141,0.3876,0.48229999999999995,0.14864539230129745,0.1252,0.055,0.2603,0.2052,0.7495,False
Interferon-beta,Thrombotic Microangiopathy,silent_killer,1,0,2014-04-15,2013-10-16,4.138,976,0,0,1.0,2010-2015,100.0,18.32,18.32,51.95,93.03,60.28,35.0,50.33,1.0,9.047,1.0,0.1832,0.5195000000000001,0.9303,0.6028,0.35,0.5033,0.5868200418850946,0.9793,0.9346,0.9937,0.059,0.9587,False
Fluoxetine,Birth Defects,negative,0,0,,2013-03-05,5.369,9999,0,0,0.8,unknown,69.41,35.58,35.58,25.74,24.76,0.0,0.0,32.86,1.0,2.583,0.6940999999999999,0.3558,0.25739999999999996,0.24760000000000001,0.0,0.0,0.3286,0.3245821553481631,0.0067,0.0031,0.0144,0.0113,0.9866,False
Nimesulide,Hepatotoxicity,silent_killer,1,0,2002-03-15,2001-09-15,6.192,158,0,0,1.0,2000-2005,83.27,25.61,25.61,74.97,100.0,49.02,100.0,76.31,1.0,15.915,0.8327,0.2561,0.7497,1.0,0.4902,1.0,0.7631,0.7193098235826489,1.0,0.9998,1.0,0.0002,0.9999,False
Antipsychotics,Stroke Long-term,negative,0,0,,2010-06-17,11.925,9999,0,0,0.8,unknown,36.21,0.38,0.38,0.49,32.05,31.95,45.69,50.5,1.0,3.781,0.36210000000000003,0.0038,0.0049,0.32049999999999995,0.3195,0.4569,0.505,0.39794484186213397,0.1181,0.0538,0.2399,0.1861,0.7638,False
Rimonabant,Psychiatric Disorders,media_panic,1,1,2008-10-15,2008-04-17,7.877,486,0,0,0.8,2005-2010,21.59,63.22,63.22,24.52,0.0,29.16,60.0,45.83,1.0,12.467,0.2159,0.6322,0.2452,0.0,0.2916,0.6,0.4583,0.6613320353848502,0.1501,0.0675,0.3013,0.2338,0.6997,False
Rivaroxaban,Fatal Bleeding,standard,1,0,2013-03-15,2012-09-15,0.638,1023,0,0,1.0,2010-2015,76.02,62.16,62.16,84.84,64.06,75.21,30.0,61.88,0.27312445069366176,1.524,0.7602,0.6215999999999999,0.8484,0.6406000000000001,0.7521,0.3,0.6188,0.2354745686007081,0.9957,0.9834,0.9989,0.0155,0.9915,False
Ximelagatran,Hepatotoxicity,standard,1,1,2006-02-15,2005-08-18,4.294,720,1,0,1.0,2005-2010,87.69,80.88,80.88,100.0,71.2,66.35,50.0,72.7,1.0,2.597,0.8769,0.8088,1.0,0.7120000000000001,0.6635,0.5,0.727,0.32557399139455667,0.9998,0.9991,1.0,0.0009,0.9996,False
Cisapride,QT Prolongation,standard,1,0,2000-03-15,1999-09-16,7.872,468,0,0,0.8,2000-2005,64.71,73.59,73.59,100.0,54.48,100.0,50.0,70.96,1.0,18.439,0.6470999999999999,0.7359,1.0,0.5448,1.0,0.5,0.7095999999999999,0.7546828457201887,0.9997,0.9988,0.9999,0.0011,0.9994,False
